Name,Price,Link
Amazfit Active 3 Premium,"KSh25,000",https://www.phoneplacekenya.com/product/amazfit-active-3-pemium/
Motorola Moto G57,"KSh35,000Original price was: KSh 35,000.KSh31,000Current price is: KSh 31,000.",https://www.phoneplacekenya.com/product/motorola-moto-g57/
Infinix Hot 70 Pro 5G,"KSh36,500",https://www.phoneplacekenya.com/product/infinix-hot-70-pro/
Samsung Galaxy M06 5G,"KSh22,000Original price was: KSh 22,000.KSh17,000Current price is: KSh 17,000.",https://www.phoneplacekenya.com/product/sansung-galaxy-m06-5g/
Infinix Hot 70 4G,"KSh18,200–KSh25,700Price range: KSh 18,200 through KSh 25,700",https://www.phoneplacekenya.com/product/infinix-hot-70/
Honor 600 5G,"KSh76,000Original price was: KSh 76,000.KSh74,000Current price is: KSh 74,000.",https://www.phoneplacekenya.com/product/honor-600-5g/
Honor 600 Pro 5G,"KSh113,000",https://www.phoneplacekenya.com/product/honor-600-pro-5g/
OnePlus Nord CE6,"KSh50,000",https://www.phoneplacekenya.com/product/oneplus-nord-ce6/
Motorola Moto G06 4G,"KSh22,000",https://www.phoneplacekenya.com/product/motorola-moto-g06-4g/
Motorola Edge 70 Fusion,"KSh59,000Original price was: KSh 59,000.KSh56,000Current price is: KSh 56,000.",https://www.phoneplacekenya.com/product/motorola-edge-70-fusion/
HMD Luma,"KSh18,000",https://www.phoneplacekenya.com/product/hmd-luma/
Samsung Galaxy M17e 5G,"KSh18,000–KSh20,000Price range: KSh 18,000 through KSh 20,000",https://www.phoneplacekenya.com/product/samsung-galaxy-m17e-5g/
Tecno Spark 50 4G,"KSh17,500–KSh20,500Price range: KSh 17,500 through KSh 20,500",https://www.phoneplacekenya.com/product/tecno-spark-50-4g/
Vivo X300 Ultra,"KSh215,000",https://www.phoneplacekenya.com/product/vivo-x300-ultra/
Vivo V70 FE 5G,"KSh54,000–KSh63,000Price range: KSh 54,000 through KSh 63,000",https://www.phoneplacekenya.com/product/vivo-v70-fe-5g/
Oppo A6 4G,"KSh33,500–KSh36,000Price range: KSh 33,500 through KSh 36,000",https://www.phoneplacekenya.com/product/oppo-a6-4g/
Motorola G35 5G,"KSh28,000Original price was: KSh 28,000.KSh24,500Current price is: KSh 24,500.",https://www.phoneplacekenya.com/product/motorola-g35-5g/
Motorola Moto G56 5G,"KSh35,500Original price was: KSh 35,500.KSh33,000Current price is: KSh 33,000.",https://www.phoneplacekenya.com/product/motorola-moto-g56-5g/
Realme C85 Pro 4G,"KSh32,000",https://www.phoneplacekenya.com/product/realme-c85-pro-4g/
Realme Note 70 4G,"KSh17,500",https://www.phoneplacekenya.com/product/realme-noe-70-4g/
Itel A200 4G,"KSh13,500",https://www.phoneplacekenya.com/product/itel-a200-4g/
Itel City 200,"KSh20,000Original price was: KSh 20,000.KSh18,500Current price is: KSh 18,500.",https://www.phoneplacekenya.com/product/itel-city-200/
Redmi A7 4G,"KSh14,000Original price was: KSh 14,000.KSh13,500Current price is: KSh 13,500.",https://www.phoneplacekenya.com/product/redmi-a7-4g/
Motorola G77 5G,"KSh42,000Original price was: KSh 42,000.KSh39,000Current price is: KSh 39,000.",https://www.phoneplacekenya.com/product/motorola-g77-5g/
Motorola Edge 70,"KSh70,000Original price was: KSh 70,000.KSh67,000Current price is: KSh 67,000.",https://www.phoneplacekenya.com/product/motorola-edge-70/
Motorola S50 Neo,"KSh40,000Original price was: KSh 40,000.KSh39,500Current price is: KSh 39,500.",https://www.phoneplacekenya.com/product/motorola-s50-neo/
Motorola Edge 60 Stylus,"KSh45,000Original price was: KSh 45,000.KSh39,000Current price is: KSh 39,000.",https://www.phoneplacekenya.com/product/motorola-edge-60-stylus/
Motorola Edge 60 5G,"KSh52,000",https://www.phoneplacekenya.com/product/motorola-edge-60-5g/
Vivo Y05 4G,"KSh16,000–KSh18,600Price range: KSh 16,000 through KSh 18,600",https://www.phoneplacekenya.com/product/vivo-yo5-4g-price-in-kenya/
Oppo Find N6,"KSh225,000Original price was: KSh 225,000.KSh223,000Current price is: KSh 223,000.",https://www.phoneplacekenya.com/product/oppo-find-n6-price-in-kenya/
Infinix Smart 20,"KSh13,000–KSh14,300Price range: KSh 13,000 through KSh 14,300",https://www.phoneplacekenya.com/product/infinix-smart-20-price-in-kenya/
Nothing Phone 4 (a) Pro,"KSh85,500Original price was: KSh 85,500.KSh83,000Current price is: KSh 83,000.",https://www.phoneplacekenya.com/product/nothing-phone-4a-pro/
Nothing Phone 4 (a) 5G,"KSh55,000–KSh61,500Price range: KSh 55,000 through KSh 61,500",https://www.phoneplacekenya.com/product/nothing-phone-4-a-5g/
Infinix Note 60 Pro 5G,"KSh42,000Original price was: KSh 42,000.KSh41,000Current price is: KSh 41,000.",https://www.phoneplacekenya.com/product/infinix-note-60-pro-5g/
Tecno Camon 50 Ultra,"KSh60,000Original price was: KSh 60,000.KSh58,000Current price is: KSh 58,000.",https://www.phoneplacekenya.com/product/tecno-camon-50-ultra/
Honor 200 Lite,"KSh40,000Original price was: KSh 40,000.KSh30,000Current price is: KSh 30,000.",https://www.phoneplacekenya.com/product/honor-200-lite/
Tecno Pop 20,"KSh12,300–KSh14,500Price range: KSh 12,300 through KSh 14,500",https://www.phoneplacekenya.com/product/tecno-pop-20/
Redmi A7 Pro 4G,"KSh14,500–KSh16,000Price range: KSh 14,500 through KSh 16,000",https://www.phoneplacekenya.com/product/redmi-a7-pro-4g/
Samsung Galaxy F70e 5G,"KSh18,500",https://www.phoneplacekenya.com/product/samsung-galaxy-f70e-5g/
OnePlus Nord 6,"KSh59,000–KSh65,000Price range: KSh 59,000 through KSh 65,000",https://www.phoneplacekenya.com/product/oneplus-nord-6/
Vivo Y31d,"KSh25,600–KSh28,000Price range: KSh 25,600 through KSh 28,000",https://www.phoneplacekenya.com/product/vivo-y31d/
Itel A100C,"KSh12,999",https://www.phoneplacekenya.com/product/itel-a100c/
Oppo Reno15 F 5G,"KSh56,000Original price was: KSh 56,000.KSh54,500Current price is: KSh 54,500.",https://www.phoneplacekenya.com/product/oppo-reno15-f-5g/
Infinix Note Edge 5G,"KSh36,000Original price was: KSh 36,000.KSh34,500Current price is: KSh 34,500.",https://www.phoneplacekenya.com/product/infinix-note-edge/
Vivo V70 5G,"KSh78,500Original price was: KSh 78,500.KSh76,500Current price is: KSh 76,500.",https://www.phoneplacekenya.com/product/vivo-v70-5g/
Oppo A6x 4G,"KSh16,100–KSh22,000Price range: KSh 16,100 through KSh 22,000",https://www.phoneplacekenya.com/product/oppo-a6x4g/
Poco M8 Pro,"KSh47,000Original price was: KSh 47,000.KSh44,000Current price is: KSh 44,000.",https://www.phoneplacekenya.com/product/poco-m8-pro/
Apple iPhone 17e,"KSh91,000–KSh98,000Price range: KSh 91,000 through KSh 98,000",https://www.phoneplacekenya.com/product/apple-iphone-17e/
Samsung Galaxy Z TriFold,"KSh700,000Original price was: KSh 700,000.KSh570,000Current price is: KSh 570,000.",https://www.phoneplacekenya.com/product/samsung-galaxy-trifold/
Xiaomi 17 Ultra Leica Edition,"KSh168,000Original price was: KSh 168,000.KSh162,000Current price is: KSh 162,000.",https://www.phoneplacekenya.com/product/xiaomi-17-ultra/
Oppo Find X9,"KSh125,000Original price was: KSh 125,000.KSh123,000Current price is: KSh 123,000.",https://www.phoneplacekenya.com/product/oppo-find-x9/
Tecno Camon 50,"KSh37,000Original price was: KSh 37,000.KSh35,000Current price is: KSh 35,000.",https://www.phoneplacekenya.com/product/tecno-camon-50/
Tecno Camon 50 Pro 4G,"KSh40,000Original price was: KSh 40,000.KSh38,500Current price is: KSh 38,500.",https://www.phoneplacekenya.com/product/tecno-camon-50-pro-4g/
Samsung Galaxy A37 5G,"KSh38,500–KSh49,000Price range: KSh 38,500 through KSh 49,000",https://www.phoneplacekenya.com/product/samsung-galaxy-a37-5g/
Nothing phone 3A Lite,"KSh32,000–KSh37,000Price range: KSh 32,000 through KSh 37,000",https://www.phoneplacekenya.com/product/nothing-phone-3a-lite/
Samsung Galaxy A27 5G,"KSh36,500–KSh45,500Price range: KSh 36,500 through KSh 45,500",https://www.phoneplacekenya.com/product/samsung-galaxy-a27-5g/
Samsung Galaxy S26 Plus 5G,"KSh112,000–KSh124,000Price range: KSh 112,000 through KSh 124,000",https://www.phoneplacekenya.com/product/samsung-galaxy-s26-plus-5g/
Samsung Galaxy S26 Ultra 5G,"KSh126,000–KSh186,000Price range: KSh 126,000 through KSh 186,000",https://www.phoneplacekenya.com/product/samsung-galaxy-s26-ultra-5g/
Samsung Galaxy S26 5G,"KSh105,000Original price was: KSh 105,000.KSh101,000Current price is: KSh 101,000.",https://www.phoneplacekenya.com/product/samsung-galaxy-s26-5g/
Samsung Galaxy A57 5G,"KSh46,000–KSh56,000Price range: KSh 46,000 through KSh 56,000",https://www.phoneplacekenya.com/product/samsung-galaxy-a57-5g/
No Name,No Price,No Link
No Name,No Price,No Link
No Name,No Price,No Link
Oppo Reno15 Pro,"KSh78,500Original price was: KSh 78,500.KSh77,000Current price is: KSh 77,000.",https://www.phoneplacekenya.com/product/oppo-reno15-pro/
Oppo Reno15 5G,"KSh69,500Original price was: KSh 69,500.KSh67,000Current price is: KSh 67,000.",https://www.phoneplacekenya.com/product/oppo-reno15/
Poco F8 Ultra,"KSh111,000Original price was: KSh 111,000.KSh104,500Current price is: KSh 104,500.",https://www.phoneplacekenya.com/product/poco-f8-ultra/
Realme Note 60x,"KSh14,000",https://www.phoneplacekenya.com/product/realme-note-60x/
OnePlus 15R,"KSh68,500–KSh73,500Price range: KSh 68,500 through KSh 73,500",https://www.phoneplacekenya.com/product/oneplus-15r/
Xiaomi 15T 5G,"KSh70,500Original price was: KSh 70,500.KSh68,500Current price is: KSh 68,500.",https://www.phoneplacekenya.com/product/xiaomi-15t-5g/
Samsung Galaxy F36 5G,"KSh26,500Original price was: KSh 26,500.KSh23,500Current price is: KSh 23,500.",https://www.phoneplacekenya.com/product/samsung-galaxy-f36-5g/
Samsung Galaxy F17 5G,"KSh20,500–KSh22,500Price range: KSh 20,500 through KSh 22,500",https://www.phoneplacekenya.com/product/samsung-galaxy-f17-5g/
Honor 400 Lite 5G,"KSh44,000Original price was: KSh 44,000.KSh37,000Current price is: KSh 37,000.",https://www.phoneplacekenya.com/product/honor-400-lite-5g/
Honor X9d 5G,"KSh46,000–KSh50,800Price range: KSh 46,000 through KSh 50,800",https://www.phoneplacekenya.com/product/honor-x9d-5g/
Honor X7d 4G,"KSh27,000Original price was: KSh 27,000.KSh24,500Current price is: KSh 24,500.",https://www.phoneplacekenya.com/product/honor-x7d-4g/
Honor X5c Plus 4G,"KSh16,700Original price was: KSh 16,700.KSh15,500Current price is: KSh 15,500.",https://www.phoneplacekenya.com/product/honor-x5c-plus-4g/
Vivo V60 Lite 4G,"KSh34,000Original price was: KSh 34,000.KSh33,000Current price is: KSh 33,000.",https://www.phoneplacekenya.com/product/vivo-v60-lite-4g/
Vivo X300 Pro,"KSh153,000Original price was: KSh 153,000.KSh151,000Current price is: KSh 151,000.",https://www.phoneplacekenya.com/product/vivo-x300-pro/
Samsung Galaxy M07,"KSh14,000",https://www.phoneplacekenya.com/product/samsung-galaxy-m07/
Samsung Galaxy F07 4G,"KSh14,000",https://www.phoneplacekenya.com/product/samsung-galaxy-f07-4g/
Samsung Galaxy M17 5G,"KSh20,200–KSh23,000Price range: KSh 20,200 through KSh 23,000",https://www.phoneplacekenya.com/product/samsung-galaxy-m17-5g/
Oppo A6 Pro 4G,"KSh44,000Original price was: KSh 44,000.KSh43,000Current price is: KSh 43,000.",https://www.phoneplacekenya.com/product/oppo-a6-pro-4g/
Honor Play10,"KSh12,000",https://www.phoneplacekenya.com/product/honor-play10/
Nothing Phone (3),"KSh85,500–KSh96,500Price range: KSh 85,500 through KSh 96,500",https://www.phoneplacekenya.com/product/nothing-phone-3/
OnePlus 15 5G,"KSh99,500–KSh109,000Price range: KSh 99,500 through KSh 109,000",https://www.phoneplacekenya.com/product/oneplus-15-5g/
Itel Super S26 Ultra 4G,"KSh27,400Original price was: KSh 27,400.KSh26,500Current price is: KSh 26,500.",https://www.phoneplacekenya.com/product/itel-super-s26-ultra-5g/
Xiaomi 17 Pro Max,"KSh131,000Original price was: KSh 131,000.KSh127,000Current price is: KSh 127,000.",https://www.phoneplacekenya.com/product/xiaomi-17-pro-max/
Samsung Galaxy M36 5G,"KSh23,500–KSh25,500Price range: KSh 23,500 through KSh 25,500",https://www.phoneplacekenya.com/product/samsung-galaxy-m36-5g/
Redmi 15 4G,"KSh20,500",https://www.phoneplacekenya.com/product/xiaomi-redmi-15-4g/
Samsung Galaxy A17 4G,"KSh20,500–KSh27,500Price range: KSh 20,500 through KSh 27,500",https://www.phoneplacekenya.com/product/samsung-galaxy-a17-4g/
Google Pixel 10 Pro,"KSh125,500Original price was: KSh 125,500.KSh121,000Current price is: KSh 121,000.",https://www.phoneplacekenya.com/product/google-pixel-10-pro/
Vivo V60 5G,"KSh59,000Original price was: KSh 59,000.KSh57,000Current price is: KSh 57,000.",https://www.phoneplacekenya.com/product/vivo-v60-5g/
