Title,Company,Date Posted,Link
M&E Data Coordinator,GrowthAfrica,14 July,https://www.myjobmag.co.ke/job/m-e-data-coordinator-growthafrica
Employee Engagement Data Analyst,World Vision Kenya,13 July,https://www.myjobmag.co.ke/job/employee-engagement-data-analyst-world-vision-kenya
Data Entry Operator (SAP Business one),Peoplelink Consultants Ltd,13 July,https://www.myjobmag.co.ke/job/data-entry-operator-sap-business-one-peoplelink-consultants-ltd
QA Analyst,She Code Africa,13 July,https://www.myjobmag.co.ke/job/qa-analyst-she-code-africa-1
Data Analyst,The Digital Monkeys,11 July,https://www.myjobmag.co.ke/job/data-analyst-the-digital-monkeys
"Global Lead, CRRD Data & Analytics",International Rescue Committee,11 July,https://www.myjobmag.co.ke/job/global-lead-crrd-data-analytics-international-rescue-committee
Data Engineering Intern - 1 Post,Agile Business Solutions Limited,10 July,https://www.myjobmag.co.ke/job/data-engineering-intern-1-post-agile-business-solutions-limited
Data Analyst Intern - 1 Post,Agile Business Solutions Limited,10 July,https://www.myjobmag.co.ke/job/data-analyst-intern-1-post-agile-business-solutions-limited
Business Analyst - 1 Post,Agile Business Solutions Limited,10 July,https://www.myjobmag.co.ke/job/business-analyst-1-post-agile-business-solutions-limited
AI & Machine Learning Intern - 1 Post,Agile Business Solutions Limited,10 July,https://www.myjobmag.co.ke/job/ai-machine-learning-intern-1-post-agile-business-solutions-limited
Part-time Lecturers - Strategic Analysis and Models,The Open University of Kenya,10 July,https://www.myjobmag.co.ke/job/part-time-lecturers-strategic-analysis-and-models-the-open-university-of-kenya
K26298- Business Operations Analyst (Locally Recruited),International Maize and Wheat Improvement Center (CIMMYT),10 July,https://www.myjobmag.co.ke/job/k26298-business-operations-analyst-locally-recruited-international-maize-and-wheat-improvement-center-cimmyt
Associate Scientist – Data Analyst- ICRISAT,World Agroforestry Centre (ICRAF),09 July,https://www.myjobmag.co.ke/job/associate-scientist-data-analyst-icrisat-world-agroforestry-centre-icraf
Part-time Lectures - Computer Vision and Image Analysis,The Open University of Kenya,09 July,https://www.myjobmag.co.ke/job/part-time-lectures-computer-vision-and-image-analysis-the-open-university-of-kenya
Part-time Lectures - Natural Language Processing,The Open University of Kenya,09 July,https://www.myjobmag.co.ke/job/part-time-lectures-natural-language-processing-the-open-university-of-kenya
Part-time Lectures - Responsible and Explainable AI,The Open University of Kenya,09 July,https://www.myjobmag.co.ke/job/part-time-lectures-responsible-and-explainable-ai-the-open-university-of-kenya
Part-time Lectures - Large Language Models (LLMs) and Generative AI,The Open University of Kenya,09 July,https://www.myjobmag.co.ke/job/part-time-lectures-large-language-models-llms-and-generative-ai-the-open-university-of-kenya
Part-time Lectures - Data Management,The Open University of Kenya,09 July,https://www.myjobmag.co.ke/job/part-time-lectures-data-management-the-open-university-of-kenya
